Feature Name,Target,Diameter,Latitude,Longitude,Feature Type,Approval Date,Origin
Acacallis Linea,Europa,940,-5.27,225.56,"Linea, lineae",27-May-22,Granddaughter of Europa and sibling of Phaedra and Katreus.
Adonis Linea,Europa,1560,-61,122.6,"Linea, lineae",1979,"Greek; son of Phoenix, nephew of Europa."
Agave Linea,Europa,1440,12.8,273.1,"Linea, lineae",1997,Daughter of Harmonia and Cadmus.
Agenor Linea,Europa,1496,-43.8,213.5,"Linea, lineae",1979,Greek; Europa's father.
Áine,Europa,5,-43,177.5,"Crater, craters",2000,Celtic goddess of love and fertility.
Alphesiboea Linea,Europa,1438,-25.1,175.9,"Linea, lineae",1985,"Son of Phoenix, nephew of Europa."
Amaethon,Europa,1.7,13.82,177.47,"Crater, craters",2006,Celtic god of agriculture.
Amergin,Europa,17,-14.7,230.6,"Crater, craters",2000,Legendary Irish druid and poet.
Ancaeus Linea,Europa,145,57.82,182.46,"Linea, lineae",27-May-22,"The nephew of Europa, in Greek mythology."
Androgeos Linea,Europa,723,11.7,279.3,"Linea, lineae",2000,Son of Minos in Greek mythology.
Angus,Europa,4.5,-12.6,75.1,"Crater, craters",2000,Beautiful Celtic god of love.
Annwn Regio,Europa,2300,20,320,"Regio, regiones",11-May-07,"Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown."
Arachne Linea,Europa,954,-8.82,219.96,"Linea, lineae",27-May-22,"Daughter of Idmon of Colophon in Greek mythology, who challenged the goddess Athena in a weaving contest."
Argadnel Regio,Europa,1900,-14.6,208.5,"Regio, regiones",2003,"In Celtic mythology, one of the islands of Earthly paradise seen during Bran's voyage."
Argiope Linea,Europa,689,-1.7,195.6,"Linea, lineae",1979,Greek; another name for Telephassa.
Arran Chaos,Europa,26,13.4,80.5,"Chaos, chaoses",23-Aug-07,Island where Manannán had a palace.
Asterius Linea,Europa,1943,14.9,270.8,"Linea, lineae",1979,Greek; Europa's husband after Zeus.
Astypalaea Linea,Europa,817,-75.8,212.1,"Linea, lineae",1997,Sister of Europa.
Autonoë Linea,Europa,760,18.2,165.1,"Linea, lineae",2000,Daughter of Harmonia and Cadmus in Greek mythology.
